Event, Time Stamp, Subjectivity
Dog being show, 0:00 - 0:03, 1
Woman explaning what is about to happen as she walks around in kitchen, 0:07 - 1:08, 2
Dog shampoo being displayed of several different kinds, 1:10 - 1:25, 1
Sink being turned on, 1:46 - 1:49, 2
Dog near sink playfully trying not to get a bath, 2:29 - 2:54, 2
Woman walking around parking structure, 3:00 - 3:19, -1
The two woman walk the paved street in the bright sun, 3:35 - 4:20, -1
Dog on kitchen top clipper is displayed, 4:31 - 4:34, 2
Woman in kitchen showing the clipper is being charged, 6:34 - 6:40, 2
Dog on floor sniffing the camera, 7:08 - 7:30, 1
