video_name,manual_event_id,manual_event,manual_start,manual_end,subjectivity,best_vlm_event_id,best_vlm_event,similarity,matched
TVSUM_9,1,Man gets into enclosed two-wheeled vehicle,00:00,00:06,2,4,Man sitting next to a car again,0.409412145614624,False
TVSUM_9,2,Man speaking to camera,00:14,00:20,1,1,"Man sitting next to a car, talking",0.48179635405540466,True
TVSUM_9,3,Man gets out of enclosed two-wheeled vehicle,00:26,00:32,2,4,Man sitting next to a car again,0.41462570428848267,False
TVSUM_9,4,Man speaking to camera,00:33,00:42,-1,1,"Man sitting next to a car, talking",0.48179635405540466,True
TVSUM_9,5,Functionality of the vehicle is explained,00:43,00:57,2,9,Close-up of car components,0.43706291913986206,False
TVSUM_9,6,Vehicle simulation shown,00:58,01:02,2,2,Car driving on a road,0.39961302280426025,False
TVSUM_9,7,Man speaking to camera,01:02,01:06,-1,1,"Man sitting next to a car, talking",0.48179635405540466,True
TVSUM_9,8,Simulation of the inner workings of the two-wheeled vehicle is shown,01:09,01:25,2,9,Close-up of car components,0.2673514783382416,False
TVSUM_9,9,Pedal controls shown,01:25,01:30,1,6,Close-up of car pedals again,0.5538575649261475,True
TVSUM_9,10,Smart display shows vehicle data,01:59,02:03,1,4,Man sitting next to a car again,0.2771875858306885,False
TVSUM_9,11,Simulation shows how the engine works,02:03,02:10,2,2,Car driving on a road,0.23424246907234192,False
TVSUM_9,12,Battery layout and controls showcased,02:41,02:50,2,9,Close-up of car components,0.20015467703342438,False
TVSUM_9,13,Vehicle drives around bus depot,02:50,02:56,1,2,Car driving on a road,0.4484238028526306,False
TVSUM_9,14,Steering mechanism demonstrated by man,03:03,03:14,1,2,Car driving on a road,0.25047922134399414,False
TVSUM_9,15,Woman exits the vehicle in sunny weather,03:30,03:33,1,10,Woman driving a futuristic car,0.41255703568458557,False
TVSUM_9,16,New man enters the vehicle and drives off,03:33,03:48,1,4,Man sitting next to a car again,0.42954540252685547,False
TVSUM_10,1,Woman talking on a set,00:05,00:25,1,9,Attendees taking notes during a presentation or discussion,0.2948721945285797,False
TVSUM_10,2,People looking at a car,00:26,00:28,0,3,Demonstration of the charging process for electric cars,0.2735746204853058,False
TVSUM_10,3,Cable being plugged into a car,00:32,00:33,2,3,Demonstration of the charging process for electric cars,0.3691920042037964,False
TVSUM_10,4,Man talking,00:46,01:03,0,9,Attendees taking notes during a presentation or discussion,0.2620387077331543,False
TVSUM_10,5,Man driving a small electric car,01:20,01:22,0,5,Overview of the electric vehicle industry,0.4535749554634094,True
TVSUM_10,6,Man talking with cars in the background,01:28,01:42,2,5,Overview of the electric vehicle industry,0.2239515334367752,False
TVSUM_11,1,A woman talking while petting a dog,00:05,00:09,1,5,Woman talking about pet food options,0.6635494828224182,True
TVSUM_11,2,A woman showing the inside of a dog cage,00:11,00:26,1,7,Woman closing the dog's cage,0.6771830916404724,True
TVSUM_11,3,A woman talking while petting a dog who is standing on a table,00:27,01:26,1,5,Woman talking about pet food options,0.627592921257019,True
TVSUM_11,4,A dog getting dried,01:30,01:32,2,2,Woman preparing a dog for grooming,0.34148547053337097,False
TVSUM_11,5,A woman trimming a dog's paws,01:33,01:34,2,2,Woman preparing a dog for grooming,0.7061129212379456,True
TVSUM_11,6,A dog getting brushed,01:37,01:38,2,2,Woman preparing a dog for grooming,0.5115211009979248,True
TVSUM_11,7,A woman talking in front of dog cages,01:39,01:50,0,5,Woman talking about pet food options,0.6465267539024353,True
TVSUM_11,8,A woman talking in front of dog cages,02:07,02:27,0,5,Woman talking about pet food options,0.6465267539024353,True
TVSUM_12,1,A woman filming herself walking and talking around her house,01:08,01:15,-1,2,Woman talking to camera,0.6350910663604736,True
TVSUM_12,2,A dog playing around a kitchen countertop,01:50,02:05,0,4,Woman giving dog bath,0.3460956811904907,False
TVSUM_12,3,A dog getting pet on a kitchen countertop,02:29,02:56,1,4,Woman giving dog bath,0.4638511836528778,True
TVSUM_12,4,A dog getting pet on a kitchen countertop with scissors and an electric razor next to him,04:25,04:30,2,1,Person washing dog's fur,0.4266287088394165,False
TVSUM_12,5,An electric razor being shown next to a dog,04:31,04:34,2,1,Person washing dog's fur,0.4004823863506317,False
TVSUM_12,6,Hair cutting materials being shown with a pile of hairs,05:41,05:47,2,1,Person washing dog's fur,0.2906941771507263,False
TVSUM_12,7,A pair of hair clippers being shown,06:34,06:40,2,3,Woman showing products,0.285827100276947,False
