video_name,manual_event_id,manual_event,manual_start,manual_end,subjectivity,best_vlm_event_id,best_vlm_event,similarity,matched
TVSUM_10,6,Man talking with cars in background,1:28,1:42,2,2,News anchor continues discussing electric cars,0.3750234544277191,False
TVSUM_10,1,Reporter introduce subject,00:05,00:25,1,2,News anchor continues discussing electric cars,0.29730382561683655,False
TVSUM_10,3,People talking around electric vechicle,00:26,00:30,1,9,A man speaks about the charging systems at the exhibition,0.40498843789100647,False
TVSUM_10,5,Exhibition environment shown,1:18,1:27,0,9,A man speaks about the charging systems at the exhibition,0.42420560121536255,False
TVSUM_11,10,Woman talking at camera,02:07,01:25,1,1,Exterior view of PetJoy,-0.02504788152873516,False
TVSUM_11,3,A woman showing the inside of a dog cage,00:11,00:26,1,1,Exterior view of PetJoy,0.26390862464904785,False
TVSUM_11,9,Pet food and products are shown on store shelves,01:52,02:07,1,1,Exterior view of PetJoy,0.3087029457092285,False
TVSUM_11,6,Woman talking to camera as dog is being petted,01:09,01:27,1,3,Grooming session with a small dog,0.3122091293334961,False
TVSUM_11,1,Store front of petstore,00:00,00:04,1,1,Exterior view of PetJoy,0.4022611677646637,False
TVSUM_11,8,Woman talking at camera,01:39,01:52,0,1,Exterior view of PetJoy,-0.02504788152873516,False
TVSUM_12,4,Water running in the sink,1:46,1:49,2,1,Woman washing her hands,0.23726825416088104,False
TVSUM_12,5,A white dog playing around on a kitchen countertop,2:29,2:54,2,5,Woman rinsing the dog,0.3503148555755615,False
TVSUM_12,8,A dog is shown on the kitchen countertop with clippers,4:31,4:34,2,5,Woman rinsing the dog,0.399609237909317,False
TVSUM_12,9,A pair of hair clippers being shown on its charging stand,6:34,6:40,1,3,Woman brushing her hair,0.2631206214427948,False
TVSUM_12,1,A small white dog is shown close up,0:00,0:03,1,6,Woman drying the dog,0.2956708073616028,False
TVSUM_12,10,The groomed dog is shown lying on the floor,7:08,7:30,1,6,Woman drying the dog,0.3296222686767578,False
TVSUM_9,5,A collision Simulation with a car is shown,00:58,1:03,2,1,Introduction of the vehicle,0.4359000623226166,False
TVSUM_9,10,Woman gets out of the car,03:28,03:31,1,11,Vehicle driving on a road,0.340420126914978,False
TVSUM_9,6,Wheel mechanism and internals are shown,01:07,01:26,1,1,Introduction of the vehicle,0.4188419282436371,False
TVSUM_9,9,Man steering wheel,03:07,03:11,0,3,Man speaking about the vehicle,0.42203736305236816,False
