video_name,prompt_name,event_id,event_description,start,end,start_seconds,end_seconds
TVSUM_9,few_shot,1,A person introduces a futuristic vehicle,00:00,00:10,0,10
TVSUM_9,few_shot,2,The vehicle's exterior and interior are showcased,00:11,00:30,11,30
TVSUM_9,few_shot,3,The vehicle demonstrates its driving capabilities,00:31,00:50,31,50
TVSUM_9,few_shot,4,The vehicle's battery status is displayed,00:51,01:10,51,70
TVSUM_9,few_shot,5,The vehicle is driven on a city street,01:11,01:30,71,90
TVSUM_9,few_shot,6,The vehicle's features are highlighted,01:31,01:50,91,110
TVSUM_9,few_shot,7,The vehicle is driven again on a city street,01:51,02:10,111,130
TVSUM_9,few_shot,8,The vehicle's battery status is displayed once more,02:11,02:30,131,150
TVSUM_9,few_shot,9,The vehicle is driven on a city street again,02:31,02:50,151,170
TVSUM_9,few_shot,10,The vehicle is driven on a city street one last time,02:51,03:10,171,190
TVSUM_9,few_shot,11,The vehicle is shown driving on a city street,03:11,03:30,191,210
TVSUM_9,few_shot,12,The vehicle is shown driving on a city street,03:31,03:50,211,230
TVSUM_9,few_shot,13,The vehicle is shown driving on a city street,03:51,04:00,231,240
TVSUM_10,few_shot,1,An electric car is demonstrated at an exhibition,00:00,00:20,0,20
TVSUM_10,few_shot,2,A news anchor introduces the topic of electric cars,00:21,00:40,21,40
TVSUM_10,few_shot,3,A man speaks about the electric vehicle charging system,00:41,01:00,41,60
TVSUM_10,few_shot,4,A man demonstrates the electric vehicle's charging process,01:01,01:20,61,80
TVSUM_10,few_shot,5,A man discusses the benefits of electric vehicles,01:21,01:40,81,100
TVSUM_10,few_shot,6,A bus is showcased at the exhibition,01:41,01:50,101,110
TVSUM_10,few_shot,7,A man speaks about the electric vehicle industry,01:51,02:00,111,120
TVSUM_10,few_shot,8,A man demonstrates the electric vehicle's charging process again,02:01,02:10,121,130
TVSUM_10,few_shot,9,People interact with the electric vehicle charging station,02:11,02:20,131,140
TVSUM_11,few_shot,1,A dog is being groomed by a woman,00:00,00:20,0,20
TVSUM_11,few_shot,2,The dog is placed in a cage,00:21,00:40,21,40
TVSUM_11,few_shot,3,The dog is groomed again by the woman,00:41,01:00,41,60
TVSUM_11,few_shot,4,The dog is placed back in the cage,01:01,01:20,61,80
TVSUM_11,few_shot,5,The dog is groomed again by the woman,01:21,01:40,81,100
TVSUM_11,few_shot,6,The dog is placed back in the cage,01:41,01:50,101,110
TVSUM_11,few_shot,7,The dog is groomed again by the woman,01:51,02:10,111,130
TVSUM_11,few_shot,8,The dog is placed back in the cage,02:11,02:20,131,140
TVSUM_11,few_shot,9,The dog is groomed again by the woman,02:21,02:40,141,160
TVSUM_11,few_shot,10,The dog is placed back in the cage,02:41,02:50,161,170
TVSUM_11,few_shot,11,The dog is groomed again by the woman,02:51,03:10,171,190
TVSUM_11,few_shot,12,The dog is placed back in the cage,03:11,03:20,191,200
TVSUM_11,few_shot,13,The dog is groomed again by the woman,03:21,03:40,201,220
TVSUM_11,few_shot,14,The dog is placed back in the cage,03:41,03:50,221,230
TVSUM_11,few_shot,15,The dog is groomed again by the woman,03:51,04:10,231,250
TVSUM_11,few_shot,16,The dog is placed back in the cage,04:11,04:20,251,260
TVSUM_11,few_shot,17,The dog is groomed again by the woman,04:21,04:40,261,280
TVSUM_12,few_shot,1,A woman washes her dog,00:00,00:20,0,20
TVSUM_12,few_shot,2,The woman talks to the camera while washing the dog,00:21,00:40,21,40
TVSUM_12,few_shot,3,The woman applies shampoo to the dog's fur,00:41,01:00,41,60
TVSUM_12,few_shot,4,The woman rinses the dog's fur,01:01,01:20,61,80
TVSUM_12,few_shot,5,The woman dries the dog with a towel,01:21,01:40,81,100
TVSUM_12,few_shot,6,The woman brushes the dog's fur,01:41,02:00,101,120
TVSUM_12,few_shot,7,The woman puts the dog in a car,02:01,02:20,121,140
TVSUM_12,few_shot,8,The woman walks the dog outside,02:21,02:40,141,160
TVSUM_12,few_shot,9,The woman talks to the camera while walking the dog,02:41,03:00,161,180
TVSUM_12,few_shot,10,The woman returns home and pets the dog,03:01,03:20,181,200
TVSUM_12,few_shot,11,The woman brushes the dog's fur again,03:21,03:40,201,220
TVSUM_12,few_shot,12,The woman talks to the camera while brushing the dog,03:41,04:00,221,240
TVSUM_12,few_shot,13,The woman puts the dog in a car,04:01,04:20,241,260
TVSUM_12,few_shot,14,The woman walks the dog outside again,04:21,04:40,261,280
TVSUM_12,few_shot,15,The woman talks to the camera while walking the dog,04:41,05:00,281,300
TVSUM_12,few_shot,16,The woman returns home and pets the dog one last time,05:01,05:20,301,320
TVSUM_12,few_shot,17,The woman talks to the camera while petting the dog,05:21,05:40,321,340
