video_name,manual_event_id,manual_event,manual_start,manual_end,subjectivity,best_vlm_event_id,best_vlm_event,similarity,matched,prompt_name
TVSUM_9,1,Man gets into enclosed two-wheeled vehicle,00:00,00:06,2,4,The car's interior is shown,0.326225221157074,False,few_shot
TVSUM_9,2,Man speaking to camera,00:14,00:20,1,5,The person looks at the camera,0.5694116950035095,True,few_shot
TVSUM_9,3,Man gets out of enclosed two-wheeled vehicle,00:26,00:32,2,11,The car is shown with a diagram,0.32080477476119995,False,few_shot
TVSUM_9,4,Man speaking to camera,00:33,00:42,-1,5,The person looks at the camera,0.5694116950035095,True,few_shot
TVSUM_9,5,Functionality of the vehicle is explained,00:43,00:57,2,11,The car is shown with a diagram,0.6325706243515015,True,few_shot
TVSUM_9,6,Vehicle simulation shown,00:58,01:02,2,11,The car is shown with a diagram,0.6469776630401611,True,few_shot
TVSUM_9,7,Man speaking to camera,01:02,01:06,-1,5,The person looks at the camera,0.5694116950035095,True,few_shot
TVSUM_9,8,Simulation of the inner workings of the two-wheeled vehicle is shown,01:09,01:25,2,11,The car is shown with a diagram,0.40139976143836975,False,few_shot
TVSUM_9,9,Pedal controls shown,01:25,01:30,1,13,The car is shown with yet another diagram,0.2837372422218323,False,few_shot
TVSUM_9,10,Smart display shows vehicle data,01:59,02:03,1,12,The car is shown with another diagram,0.4219868779182434,False,few_shot
TVSUM_9,11,Simulation shows how the engine works,02:03,02:10,2,11,The car is shown with a diagram,0.4676153063774109,True,few_shot
TVSUM_9,12,Battery layout and controls showcased,02:41,02:50,2,17,The car is shown with a sixth diagram,0.24551963806152344,False,few_shot
TVSUM_9,13,Vehicle drives around bus depot,02:50,02:56,1,3,The car drives on the road,0.47444820404052734,True,few_shot
TVSUM_9,14,Steering mechanism demonstrated by man,03:03,03:14,1,11,The car is shown with a diagram,0.3748577833175659,False,few_shot
TVSUM_9,15,Woman exits the vehicle in sunny weather,03:30,03:33,1,9,A woman drives the car,0.4389905333518982,False,few_shot
TVSUM_9,16,New man enters the vehicle and drives off,03:33,03:48,1,6,The car drives on the road again,0.42029905319213867,False,few_shot
TVSUM_10,1,Woman talking on a set,00:05,00:25,1,11,A woman demonstrates how to use a charging station,0.29877015948295593,False,few_shot
TVSUM_10,2,People looking at a car,00:26,00:28,0,1,An electric car is shown being charged,0.44679123163223267,False,few_shot
TVSUM_10,3,Cable being plugged into a car,00:32,00:33,2,1,An electric car is shown being charged,0.5285239815711975,True,few_shot
TVSUM_10,4,Man talking,00:46,01:03,0,10,A man speaks about the future of electric cars,0.4159521758556366,False,few_shot
TVSUM_10,5,Man driving a small electric car,01:20,01:22,0,13,A man speaks about the importance of electric car technology,0.5751090049743652,True,few_shot
TVSUM_10,6,Man talking with cars in the background,01:28,01:42,2,10,A man speaks about the future of electric cars,0.5321674942970276,True,few_shot
TVSUM_11,1,A woman talking while petting a dog,00:05,00:09,1,2,The person interacts with a dog,0.6479039788246155,True,few_shot
TVSUM_11,2,A woman showing the inside of a dog cage,00:11,00:26,1,2,The person interacts with a dog,0.5131553411483765,True,few_shot
TVSUM_11,3,A woman talking while petting a dog who is standing on a table,00:27,01:26,1,2,The person interacts with a dog,0.6140261292457581,True,few_shot
TVSUM_11,4,A dog getting dried,01:30,01:32,2,2,The person interacts with a dog,0.39624518156051636,False,few_shot
TVSUM_11,5,A woman trimming a dog's paws,01:33,01:34,2,4,The person grooms the dog,0.6015783548355103,True,few_shot
TVSUM_11,6,A dog getting brushed,01:37,01:38,2,4,The person grooms the dog,0.5762811303138733,True,few_shot
TVSUM_11,7,A woman talking in front of dog cages,01:39,01:50,0,2,The person interacts with a dog,0.5577135682106018,True,few_shot
TVSUM_11,8,A woman talking in front of dog cages,02:07,02:27,0,2,The person interacts with a dog,0.5577135682106018,True,few_shot
TVSUM_12,1,A woman filming herself walking and talking around her house,01:08,01:15,-1,10,The person applies hair spray to their hair,0.13182131946086884,False,few_shot
TVSUM_12,2,A dog playing around a kitchen countertop,01:50,02:05,0,1,A person washes their hands,0.0962783694267273,False,few_shot
TVSUM_12,3,A dog getting pet on a kitchen countertop,02:29,02:56,1,6,The person applies hair conditioner to their hair,0.12814173102378845,False,few_shot
TVSUM_12,4,A dog getting pet on a kitchen countertop with scissors and an electric razor next to him,04:25,04:30,2,6,The person applies hair conditioner to their hair,0.18963193893432617,False,few_shot
TVSUM_12,5,An electric razor being shown next to a dog,04:31,04:34,2,9,The person applies hair gel to their hair,0.32629936933517456,False,few_shot
TVSUM_12,6,Hair cutting materials being shown with a pile of hairs,05:41,05:47,2,6,The person applies hair conditioner to their hair,0.47019094228744507,True,few_shot
TVSUM_12,7,A pair of hair clippers being shown,06:34,06:40,2,6,The person applies hair conditioner to their hair,0.49214404821395874,True,few_shot
TVSUM_9,1,Man gets into enclosed two-wheeled vehicle,00:00,00:06,2,8,"The man is seen inside the vehicle, demonstrating its interior and controls",0.5198825597763062,True,reasoning_guided
TVSUM_9,2,Man speaking to camera,00:14,00:20,1,1,A man in glasses and a black sweater is talking to the camera while standing next to a white car,0.6736774444580078,True,reasoning_guided
TVSUM_9,3,Man gets out of enclosed two-wheeled vehicle,00:26,00:32,2,8,"The man is seen inside the vehicle, demonstrating its interior and controls",0.46538886427879333,True,reasoning_guided
TVSUM_9,4,Man speaking to camera,00:33,00:42,-1,1,A man in glasses and a black sweater is talking to the camera while standing next to a white car,0.6736774444580078,True,reasoning_guided
TVSUM_9,5,Functionality of the vehicle is explained,00:43,00:57,2,4,"The man continues his conversation, possibly explaining the vehicle's features",0.6179553270339966,True,reasoning_guided
TVSUM_9,6,Vehicle simulation shown,00:58,01:02,2,5,"The futuristic vehicle is shown again, emphasizing its advanced technology and design",0.4531213641166687,True,reasoning_guided
TVSUM_9,7,Man speaking to camera,01:02,01:06,-1,1,A man in glasses and a black sweater is talking to the camera while standing next to a white car,0.6736774444580078,True,reasoning_guided
TVSUM_9,8,Simulation of the inner workings of the two-wheeled vehicle is shown,01:09,01:25,2,5,"The futuristic vehicle is shown again, emphasizing its advanced technology and design",0.3177536725997925,False,reasoning_guided
TVSUM_9,9,Pedal controls shown,01:25,01:30,1,8,"The man is seen inside the vehicle, demonstrating its interior and controls",0.2947211265563965,False,reasoning_guided
