model_name,prompt_name,video_name,vlm_event_id,retrieval_query,query_used,pred_start_seconds,pred_end_seconds,pred_start,pred_end,confidence,matched_manual_event_id,matched_manual_event,manual_start_seconds,manual_end_seconds,manual_start,manual_end,manual_subjectivity,semantic_similarity,temporal_iou
CG-DETR,zero_shot,TVSUM_9,1,Introduction of the vehicle,a scene where Introduction of the vehicle,214.643,223.0923,03:35,03:43,0.9978,4,The car controls and functionality is shown,43,57,0:43,0:57,2,0.5705275535583496,0.0
Moment-DETR,zero_shot,TVSUM_11,16,Grooming session with a small dog,someone is involved in: Grooming session with a small dog,31.0623,55.721,00:31,00:56,0.9992,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,15,Grooming session with a small dog,Grooming session with a small dog,60.6111,82.3069,01:01,01:22,0.999,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,14,Grooming session with a small dog,the moment when Grooming session with a small dog,66.8021,84.9243,01:07,01:25,0.9989,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,13,Grooming session with a small dog,a scene where Grooming session with a small dog,61.5831,86.7183,01:02,01:27,0.9989,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,12,Grooming session with a small dog,a scene where Grooming session with a small dog,62.1688,81.24170000000001,01:02,01:21,0.9984,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,11,Grooming session with a small dog,a scene where Grooming session with a small dog,35.4249,59.8185,00:35,01:00,0.9987,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,10,Grooming session with a small dog,Grooming session with a small dog,130.2467,140.6364,02:10,02:21,0.9974,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,9,Grooming session with a small dog,a scene where Grooming session with a small dog,141.0434,153.63580000000002,02:21,02:34,0.9997,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,8,Grooming session with a small dog,a scene where Grooming session with a small dog,22.494,36.9006,00:22,00:37,0.9982,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,7,Grooming session with a small dog,the moment when Grooming session with a small dog,66.4846,81.4782,01:06,01:21,0.9982,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,6,Grooming session with a golden retriever,Grooming session with a golden retriever,68.1678,87.4151,01:08,01:27,0.9988,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7006968259811401,0.0
Moment-DETR,zero_shot,TVSUM_11,5,Grooming session with a golden retriever,the moment when Grooming session with a golden retriever,137.9031,147.0251,02:18,02:27,0.9991,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7006968259811401,0.0
Moment-DETR,zero_shot,TVSUM_11,17,Grooming session with a small dog,a scene where Grooming session with a small dog,60.803,87.0236,01:01,01:27,0.9993,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,4,Grooming session with a small dog,a scene where Grooming session with a small dog,63.5876,87.7378,01:04,01:28,0.9991,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
Moment-DETR,zero_shot,TVSUM_11,2,Grooming session with a golden retriever,the moment when Grooming session with a golden retriever,65.042,87.4854,01:05,01:27,0.9994,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7006968259811401,0.0
Moment-DETR,zero_shot,TVSUM_11,1,Exterior view of PetJoy,someone is involved in: Exterior view of PetJoy,142.6879,155.5418,02:23,02:36,0.9977,1,Store front of petstore,0,4,00:00,00:04,1,0.4022611975669861,0.0
CG-DETR,zero_shot,TVSUM_11,17,Grooming session with a small dog,the moment when Grooming session with a small dog,60.583,90.2076,01:01,01:30,0.9988,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
CG-DETR,zero_shot,TVSUM_11,16,Grooming session with a small dog,the moment when Grooming session with a small dog,60.583,90.2076,01:01,01:30,0.9988,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
CG-DETR,zero_shot,TVSUM_11,15,Grooming session with a small dog,the moment when Grooming session with a small dog,60.583,90.2076,01:01,01:30,0.9988,2,Dog being groomed during explanation,5,10,00:05,00:10,1,0.7517977952957153,0.0
