Event Description, Time-stamps, Subjectivity rating
A company representative gets into vehicle, 00:00 - 00:06, 1
A company representative stands next to the vehicle and talks, 00:12 - 00:19, 1 
A person opens the side door and gets out of the vehicle, 00:27 - 00:33, 1 
The vehicle’s cockpit controls, and internal wiring are shown 00:43-00:57, 2
The vehicle drives on a road showing a collision scenario with a car, 00:58 - 01:03, 2 
The drivetrain and wheel mechanism of the vehicle are shown, 01:07 - 01:26 , 2 
The vehicle’s dashboard display is shown from inside the cabin, 01:59 - 02:03, 1 
The vehicle drives through an urban street, 02:50 - 02:56, 2
Man stearing wheel, 03:07 - 03:11,0
Woman gets out of the car, 03:28 - 03:31, 1
New man gets into the car and drives off, 03:34 - 03:48, 1
