video_name,prompt_name,event_id,event_description,start,end,start_seconds,end_seconds
TVSUM_11,event_timestamp,1,Exterior view of PetJoy,00:00,00:08,0,8
TVSUM_11,event_timestamp,2,Grooming session with a golden retriever,00:09,00:16,9,16
TVSUM_11,event_timestamp,3,Grooming session with a small dog,00:17,00:24,17,24
TVSUM_11,event_timestamp,4,Grooming session with a small dog,00:25,00:32,25,32
TVSUM_11,event_timestamp,5,Grooming session with a golden retriever,00:33,00:40,33,40
TVSUM_11,event_timestamp,6,Grooming session with a golden retriever,00:41,00:56,41,56
TVSUM_11,event_timestamp,7,Grooming session with a small dog,00:57,01:04,57,64
TVSUM_11,event_timestamp,8,Grooming session with a small dog,01:05,01:12,65,72
TVSUM_11,event_timestamp,9,Grooming session with a small dog,01:13,01:22,73,82
TVSUM_11,event_timestamp,10,Grooming session with a small dog,01:23,01:30,83,90
TVSUM_11,event_timestamp,11,Grooming session with a small dog,01:31,01:38,91,98
TVSUM_11,event_timestamp,12,Grooming session with a small dog,01:39,01:46,99,106
TVSUM_11,event_timestamp,13,Grooming session with a small dog,01:47,01:54,107,114
TVSUM_11,event_timestamp,14,Grooming session with a small dog,01:55,02:02,115,122
TVSUM_11,event_timestamp,15,Grooming session with a small dog,02:03,02:10,123,130
TVSUM_11,event_timestamp,16,Grooming session with a small dog,02:11,02:18,131,138
TVSUM_11,event_timestamp,17,Grooming session with a small dog,02:19,02:26,139,146
