model_name,prompt_name,video_name,vlm_event_id,retrieval_query,query_used,pred_start_seconds,pred_end_seconds,pred_start,pred_end,confidence,matched_manual_event_id,matched_manual_event,manual_start_seconds,manual_end_seconds,manual_start,manual_end,manual_subjectivity,semantic_similarity,temporal_iou
CG-DETR,few_shot,TVSUM_10,1,An electric car is shown being charged,An electric car is shown being charged,7.0377,29.5836,00:07,00:30,0.9995,3,Cable being plugged into a car,32,33,00:32,00:33,2,0.5285239815711975,0.0
CG-DETR,few_shot,TVSUM_10,10,A man speaks about the future of electric cars,someone is involved in: A man speaks about the future of electric cars,3.9513,29.0807,00:04,00:29,0.9968,6,Man talking with cars in the background,88,102,01:28,01:42,2,0.5321674346923828,0.0
CG-DETR,few_shot,TVSUM_10,8,Attendees are shown taking notes during a meeting,a scene where Attendees are shown taking notes during a meeting,112.5802,127.3821,01:53,02:07,0.9991,1,Woman talking on a set,5,25,00:05,00:25,1,0.2865368127822876,0.0
CG-DETR,few_shot,TVSUM_10,9,Attendees are shown interacting with a display at an exhibition,a scene where Attendees are shown interacting with a display at an exhibition,110.5403,132.718,01:51,02:13,0.9994,1,Woman talking on a set,5,25,00:05,00:25,1,0.2706320583820343,0.0
CG-DETR,few_shot,TVSUM_10,11,A woman demonstrates how to use a charging station,A woman demonstrates how to use a charging station,63.5197,75.9242,01:04,01:16,0.9963,1,Woman talking on a set,5,25,00:05,00:25,1,0.29877012968063354,0.0
CG-DETR,few_shot,TVSUM_10,14,A woman demonstrates how to use a charging station,A woman demonstrates how to use a charging station,63.5197,75.9242,01:04,01:16,0.9963,1,Woman talking on a set,5,25,00:05,00:25,1,0.29877012968063354,0.0
CG-DETR,few_shot,TVSUM_10,2,A news anchor introduces an electric car segment,A news anchor introduces an electric car segment,2.9159,27.0408,00:03,00:27,0.9998,5,Man driving a small electric car,80,82,01:20,01:22,0,0.4338938295841217,0.0
CG-DETR,few_shot,TVSUM_10,3,A man discusses the charging system for electric vehicles,the moment when A man discusses the charging system for electric vehicles,6.336,29.0251,00:06,00:29,0.9992,5,Man driving a small electric car,80,82,01:20,01:22,0,0.484009712934494,0.0
CG-DETR,few_shot,TVSUM_10,4,A graph showing data related to electric cars is displayed,A graph showing data related to electric cars is displayed,0.5673,25.7063,00:01,00:26,0.999,2,People looking at a car,26,28,00:26,00:28,0,0.4156304895877838,0.0
CG-DETR,few_shot,TVSUM_10,5,A man speaks about the benefits of electric cars,someone is involved in: A man speaks about the benefits of electric cars,4.2419,29.1687,00:04,00:29,0.9961,5,Man driving a small electric car,80,82,01:20,01:22,0,0.5405740141868591,0.0
