video_name,prompt_name,event_id,event_description,start,end,start_seconds,end_seconds
TVSUM_9,event_timestamp,1,Introduction of the vehicle,00:00,00:12,0,12
TVSUM_9,event_timestamp,2,Detailed view of the vehicle's front,00:12,00:24,12,24
TVSUM_9,event_timestamp,3,Man speaking about the vehicle,00:24,00:36,24,36
TVSUM_9,event_timestamp,4,Interior view of the vehicle,00:36,00:48,36,48
TVSUM_9,event_timestamp,5,Exterior view of the vehicle on a road,00:48,01:00,48,60
TVSUM_9,event_timestamp,6,Close-up of the vehicle's engine,01:00,01:12,60,72
TVSUM_9,event_timestamp,7,Pedal operation demonstration,01:12,01:24,72,84
TVSUM_9,event_timestamp,8,Man speaking about the vehicle again,01:24,01:36,84,96
TVSUM_9,event_timestamp,9,Exterior view of the vehicle driving,01:36,01:48,96,108
TVSUM_9,event_timestamp,10,Display showing battery status,01:48,01:50,108,110
TVSUM_9,event_timestamp,11,Vehicle driving on a road,01:50,02:02,110,122
TVSUM_9,event_timestamp,12,Close-up of the vehicle's front,02:02,02:14,122,134
TVSUM_9,event_timestamp,13,Man speaking about the vehicle again,02:14,02:26,134,146
TVSUM_9,event_timestamp,14,Exterior view of the vehicle driving,02:26,02:38,146,158
TVSUM_9,event_timestamp,15,Man speaking about the vehicle again,02:38,02:50,158,170
TVSUM_9,event_timestamp,16,Exterior view of the vehicle driving,02:50,02:52,170,172
TVSUM_9,event_timestamp,17,Exterior view of the vehicle driving,02:52,03:02,172,182
TVSUM_9,event_timestamp,18,Intel Free Press logo,03:02,03:04,182,184
TVSUM_10,event_timestamp,1,News anchor introduces the segment on electric cars,00:06,00:12,6,12
TVSUM_10,event_timestamp,2,News anchor continues discussing electric cars,00:12,00:20,12,20
TVSUM_10,event_timestamp,3,A man demonstrates plugging an electric car into a charging station,00:40,00:48,40,48
TVSUM_10,event_timestamp,4,A man discusses the establishment of an electric vehicle charging system,00:48,01:02,48,62
TVSUM_10,event_timestamp,5,A man explains the benefits of electric vehicles for carbon emissions reduction,01:02,01:08,62,68
TVSUM_10,event_timestamp,6,A man demonstrates a small electric vehicle,01:30,01:36,90,96
TVSUM_10,event_timestamp,7,A man speaks about the EV Korea exhibition,01:36,01:44,96,104
TVSUM_10,event_timestamp,8,A man discusses the energy park line bus,01:50,01:58,110,118
TVSUM_10,event_timestamp,9,A man speaks about the charging systems at the exhibition,02:04,02:12,124,132
TVSUM_11,event_timestamp,1,Exterior view of PetJoy,00:00,00:08,0,8
TVSUM_11,event_timestamp,2,Grooming session with a golden retriever,00:09,00:16,9,16
TVSUM_11,event_timestamp,3,Grooming session with a small dog,00:17,00:24,17,24
TVSUM_11,event_timestamp,4,Grooming session with a small dog,00:25,00:32,25,32
TVSUM_11,event_timestamp,5,Grooming session with a golden retriever,00:33,00:40,33,40
TVSUM_11,event_timestamp,6,Grooming session with a golden retriever,00:41,00:56,41,56
TVSUM_11,event_timestamp,7,Grooming session with a small dog,00:57,01:04,57,64
TVSUM_11,event_timestamp,8,Grooming session with a small dog,01:05,01:12,65,72
TVSUM_11,event_timestamp,9,Grooming session with a small dog,01:13,01:22,73,82
TVSUM_11,event_timestamp,10,Grooming session with a small dog,01:23,01:30,83,90
TVSUM_11,event_timestamp,11,Grooming session with a small dog,01:31,01:38,91,98
TVSUM_11,event_timestamp,12,Grooming session with a small dog,01:39,01:46,99,106
TVSUM_11,event_timestamp,13,Grooming session with a small dog,01:47,01:54,107,114
TVSUM_11,event_timestamp,14,Grooming session with a small dog,01:55,02:02,115,122
TVSUM_11,event_timestamp,15,Grooming session with a small dog,02:03,02:10,123,130
TVSUM_11,event_timestamp,16,Grooming session with a small dog,02:11,02:18,131,138
TVSUM_11,event_timestamp,17,Grooming session with a small dog,02:19,02:26,139,146
TVSUM_12,event_timestamp,1,Woman washing her hands,00:00,00:05,0,5
TVSUM_12,event_timestamp,2,Woman talking to the camera,00:05,00:10,5,10
TVSUM_12,event_timestamp,3,Woman brushing her hair,00:10,00:15,10,15
TVSUM_12,event_timestamp,4,Woman applying shampoo to the dog,00:15,00:20,15,20
TVSUM_12,event_timestamp,5,Woman rinsing the dog,00:20,00:25,20,25
TVSUM_12,event_timestamp,6,Woman drying the dog,00:25,00:30,25,30
TVSUM_12,event_timestamp,7,Woman talking to the camera,00:30,00:35,30,35
TVSUM_12,event_timestamp,8,Woman walking outside,00:35,00:40,35,40
TVSUM_12,event_timestamp,9,Woman entering a building,00:40,00:45,40,45
TVSUM_12,event_timestamp,10,Woman talking to the camera,00:45,00:50,45,50
TVSUM_12,event_timestamp,11,Woman brushing her hair,00:50,00:55,50,55
TVSUM_12,event_timestamp,12,Woman talking to the camera,00:55,01:00,55,60
TVSUM_12,event_timestamp,13,Woman brushing her hair,01:00,01:05,60,65
TVSUM_12,event_timestamp,14,Woman talking to the camera,01:05,01:10,65,70
TVSUM_12,event_timestamp,15,Woman brushing her hair,01:10,01:15,70,75
TVSUM_12,event_timestamp,16,Woman talking to the camera,01:15,01:20,75,80
TVSUM_12,event_timestamp,17,Woman brushing her hair,01:20,01:25,80,85
TVSUM_12,event_timestamp,18,Woman talking to the camera,01:25,01:30,85,90
