video_name,prompt_name,event_id,event_description,start,end,start_seconds,end_seconds
TVSUM_12,reasoning_guided,1,Woman washing her hands,00:00,00:20,0,20
TVSUM_12,reasoning_guided,2,Woman talking to the camera,00:21,00:40,21,40
TVSUM_12,reasoning_guided,3,Woman brushing her hair,00:41,01:00,41,60
TVSUM_12,reasoning_guided,4,Woman applying shampoo to her dog,01:01,01:20,61,80
TVSUM_12,reasoning_guided,5,Woman rinsing her dog,01:21,01:40,81,100
TVSUM_12,reasoning_guided,6,Woman drying her dog,01:41,02:00,101,120
TVSUM_12,reasoning_guided,7,Woman walking her dog,02:01,02:20,121,140
TVSUM_12,reasoning_guided,8,Woman talking to the camera,02:21,02:40,141,160
TVSUM_12,reasoning_guided,9,Woman feeding her dog,02:41,03:00,161,180
TVSUM_12,reasoning_guided,10,Woman walking her dog again,03:01,03:20,181,200
TVSUM_12,reasoning_guided,11,Woman talking to the camera,03:21,03:40,201,220
TVSUM_12,reasoning_guided,12,Woman feeding her dog again,03:41,04:00,221,240
TVSUM_12,reasoning_guided,13,Woman talking to the camera,04:01,04:20,241,260
TVSUM_12,reasoning_guided,14,Woman feeding her dog once more,04:21,04:40,261,280
TVSUM_12,reasoning_guided,15,Woman talking to the camera,04:41,04:60,281,300
TVSUM_12,reasoning_guided,16,Woman feeding her dog for the last time,04:61,05:00,301,300
TVSUM_12,reasoning_guided,17,Woman talking to the camera,05:01,05:20,301,320
TVSUM_12,reasoning_guided,18,Woman feeding her dog one last time,05:21,05:40,321,340
TVSUM_12,reasoning_guided,19,Woman talking to the camera,05:41,05:60,341,360
